event_id,name,url,created_at,starts_at,ends_at,year,weekday,month,season,hour,is_weekend,city,address,category_id,category,age_limit,properties,moderation_status,access_status,org_id,org_name,tickets_limit,tickets_total,is_registration_open,min_price,max_price,is_free,sold,attended,participants,duration_hours,lead_days
1256960,Индивидуальная консультация &quot;К Цели&quot;,https://ibcmbaclub.timepad.ru/event/1256960/,,2020-02-10T00:30:00+0300,,2020,0,2,winter,0,0,,,217,Бизнес,,,not_moderated,,,,,,,0.0,0.0,1,,,,,
1257252,Приглашаем на консультацию к доктору Аюрведы-Нилешу Авхаду. ,https://institut-traditsionnoy-vo.timepad.ru/event/1257252/,,2020-02-10T00:00:00+0300,,2020,0,2,winter,0,0,,,399,Красота и здоровье,,,not_moderated,,,,,,,0.0,0.0,1,,,,,
1258197,"Краткий обзор открытой встречи и занятия Клуба/школы, прошедших 7 февраля 2020 г.",https://lifeairbiz.timepad.ru/event/1258197/,,2020-02-07T18:30:00+0300,,2020,4,2,winter,18,0,,,217,Бизнес,,,not_moderated,,,,,,,0.0,0.0,1,,,,,
1258452,Тренинг &quot;«Как научить ребенка учиться?»,https://motivacia.timepad.ru/event/1258452/,,2020-02-08T10:00:00+0300,,2020,5,2,winter,10,1,,,462,Другие события,,,not_moderated,,,,,,,0.0,0.0,1,,,,,
1258755,Мастер-класс  &quot;Секреты идеального покрытия и выравнивания базой&quot;,https://imkosmetik.timepad.ru/event/1258755/,,2020-02-20T11:00:00+0300,,2020,3,2,winter,11,0,,,399,Красота и здоровье,,,not_moderated,,,,,,,0.0,0.0,1,,,,,
1259507,Документы для невесты,https://albion-event.timepad.ru/event/1259507/,,2020-02-12T00:00:00+0300,,2020,2,2,winter,0,0,,,462,Другие события,,,not_moderated,,,,,,,0.0,0.0,1,,,,,
1260412,Экскурсия в Музей Иосифа Бродского в Доме Мурузи,https://antimuzey-poltory-kvartir.timepad.ru/event/1260412/,,2020-02-15T14:00:00+0300,,2020,5,2,winter,14,1,,,525,Искусство и культура,,,not_moderated,,,,,,,0.0,0.0,1,,,,,
1260415,Экскурсия в Музей Иосифа Бродского в Доме Мурузи,https://antimuzey-poltory-kvartir.timepad.ru/event/1260415/,,2020-02-15T16:30:00+0300,,2020,5,2,winter,16,1,,,525,Искусство и культура,,,not_moderated,,,,,,,0.0,0.0,1,,,,,
1260442,Анна Каренина - спектакль,https://teatrasb.timepad.ru/event/1260442/,,2020-02-14T18:00:00+0300,,2020,4,2,winter,18,0,,,459,Театры,,,not_moderated,,,,,,,0.0,0.0,1,,,,,
1260574,КРУГЛЫЙ СТОЛ КЛУБА/ШКОЛЫ «ДЕНЬГИ — ПО-ВЗРОСЛОМУ»,https://lifeairbiz.timepad.ru/event/1260574/,,2020-02-07T18:30:00+0300,,2020,4,2,winter,18,0,,,217,Бизнес,,,not_moderated,,,,,,,0.0,0.0,1,,,,,
1260584,Ночное катание в день святого Валентина,https://katok-parnas-arena.timepad.ru/event/1260584/,,2020-02-14T23:00:00+0300,,2020,4,2,winter,23,0,,,463,Другие развлечения,,,not_moderated,,,,,,,0.0,0.0,1,,,,,
1261063,"Открытые занятия по творческим дисциплинам (Дмитровское шоссе, д.34 корп.2)",https://institut-kultury-i-iskuss.timepad.ru/event/1261063/,,2020-02-14T15:00:00+0300,,2020,4,2,winter,15,0,,,525,Искусство и культура,,,not_moderated,,,,,,,0.0,0.0,1,,,,,
1261358,"Открытые занятия по творческим дисциплинам (ул. Марии Ульяновой, д.21)",https://institut-kultury-i-iskuss.timepad.ru/event/1261358/,,2020-02-14T15:00:00+0300,,2020,4,2,winter,15,0,,,525,Искусство и культура,,,not_moderated,,,,,,,0.0,0.0,1,,,,,
1261597,Wine Mood. Love,https://winemood.timepad.ru/event/1261597/,,2020-02-14T19:30:00+0300,,2020,4,2,winter,19,0,,,457,Вечеринки,,,not_moderated,,,,,,,0.0,0.0,1,,,,,
1261600,Комбо-набор (6+),https://berry-town.timepad.ru/event/1261600/,,2020-02-15T12:00:00+0300,,2020,5,2,winter,12,1,,,379,Для детей,,,not_moderated,,,,,,,0.0,0.0,1,,,,,
1261949,Выставка Зимнее собрание 2020,https://bfohrculture.timepad.ru/event/1261949/,,2020-02-15T10:00:00+0300,,2020,5,2,winter,10,1,,,458,Выставки,,,not_moderated,,,,,,,0.0,0.0,1,,,,,
1262301,Открытый мастер-класс по Театральной Импровизации,https://svobodnye-khudozhniki.timepad.ru/event/1262301/,,2020-02-17T18:30:00+0300,,2020,0,2,winter,18,0,,,524,Хобби и творчество,,,not_moderated,,,,,,,0.0,0.0,1,,,,,
1262323,Дискуссия  на английском с Энтони,https://cherry-pie.timepad.ru/event/1262323/,,2020-02-17T19:30:00+0300,,2020,0,2,winter,19,0,,,382,Иностранные языки,,,not_moderated,,,,,,,0.0,0.0,1,,,,,
1262391,Республиканский турнир по решению бизнес-кейсов «Генератор креатива»,https://kzn-junior.timepad.ru/event/1262391/,,2020-02-14T15:00:00+0300,,2020,4,2,winter,15,0,,,379,Для детей,,,not_moderated,,,,,,,0.0,0.0,1,,,,,
1262448,Краткий обзор мероприятий Клуба/Школы &quot;Деньги по-взрослому&quot; 14 февраля 2020 г.,https://lifeairbiz.timepad.ru/event/1262448/,,2020-02-17T18:30:00+0300,,2020,0,2,winter,18,0,,,217,Бизнес,,,not_moderated,,,,,,,0.0,0.0,1,,,,,
1262632,Открытый бесплатный урок по испанскому языку с носителем!,https://aprendemos-espanol.timepad.ru/event/1262632/,,2020-02-17T19:00:00+0300,,2020,0,2,winter,19,0,,,382,Иностранные языки,,,not_moderated,,,,,,,0.0,0.0,1,,,,,
1262929,PWA for Shopify Stores Using Angular,https://mpsltd.timepad.ru/event/1262929/,,2020-02-17T00:00:00+0300,,2020,0,2,winter,0,0,,,217,Бизнес,,,not_moderated,,,,,,,0.0,0.0,1,,,,,
1263018,Шитьё для начинающих.,https://yutka.timepad.ru/event/1263018/,,2020-03-27T18:00:00+0300,,2020,4,3,spring,18,0,,,524,Хобби и творчество,,,not_moderated,,,,,,,0.0,0.0,1,,,,,
1263148,шиномонтаж24,https://shinomontazh24.timepad.ru/event/1263148/,,2020-02-17T00:00:00+0300,,2020,0,2,winter,0,0,,,463,Другие развлечения,,,not_moderated,,,,,,,0.0,0.0,1,,,,,
1263311,Принципы комбинирования техник рассветления (мастер-класс в записи),https://aksioma-event.timepad.ru/event/1263311/,,2020-10-13T07:00:00+0300,,2020,1,10,autumn,7,0,,,399,Красота и здоровье,,,not_moderated,,,,,,,0.0,0.0,1,,,,,
1263620,"Лекция &quot;Что разрушает любовь?!&quot; (Как не испортить отношения ссорами, но и не держать все в себе&quot;)",https://tc-uptrend.timepad.ru/event/1263620/,,2020-02-12T19:00:00+0300,,2020,2,2,winter,19,0,,,453,Психология и самопознание,,,not_moderated,,,,,,,0.0,0.0,1,,,,,
1263770,Психотерапевтическая мудрость,https://psychotherapy.timepad.ru/event/1263770/,,2020-02-18T10:00:00+0300,,2020,1,2,winter,10,0,,,453,Психология и самопознание,,,not_moderated,,,,,,,0.0,0.0,1,,,,,
1264024,ВИДЕОМАРАФОН,https://openstudia.timepad.ru/event/1264024/,,2020-02-18T00:00:00+0300,,2020,1,2,winter,0,0,,,524,Хобби и творчество,,,not_moderated,,,,,,,0.0,0.0,1,,,,,
1264294,Вокршоп &quot;Тайна красной комнаты&quot;,https://muzey-sovetskogo-byta-sde.timepad.ru/event/1264294/,,2020-02-15T12:00:00+0300,,2020,5,2,winter,12,1,,,524,Хобби и творчество,,,not_moderated,,,,,,,0.0,0.0,1,,,,,
1264379,Выпускной вечер в начальной школе,https://timepad.ru/event/1264379/,,2020-02-18T00:00:00+0300,,2020,1,2,winter,0,0,,,461,Экскурсии и путешествия,,,not_moderated,,,,,,,0.0,0.0,1,,,,,
1264407,Текстильные сувениры,https://bf-golfstrim.timepad.ru/event/1264407/,,2020-02-07T12:00:00+0300,,2020,4,2,winter,12,0,,,524,Хобби и творчество,,,not_moderated,,,,,,,0.0,0.0,1,,,,,
1264887,"Конкурсный отбор претендентов от Вологодской области на обучение  по тематической дополнительной общеобразовательной общеразвивающей программе образовательной смены «Я – Гражданин», реализуемой на базе детского лагеря «Лидер-смена» ФГБОУ ВДЦ «Смена»",https://au-vo-otsmigi-sodruzhestv.timepad.ru/event/1264887/,,2020-02-19T00:00:00+0300,,2020,2,2,winter,0,0,,,462,Другие события,,,not_moderated,,,,,,,0.0,0.0,1,,,,,
1265165,Семинар для учителей изобразительного искусства,https://institut-kultury-i-iskuss.timepad.ru/event/1265165/,,2020-02-19T15:30:00+0300,,2020,2,2,winter,15,0,,,462,Другие события,,,not_moderated,,,,,,,0.0,0.0,1,,,,,
1265468,Мастер-класс Алексея Ягудина,https://beeline-katok.timepad.ru/event/1265468/,,2020-02-21T13:00:00+0300,,2020,4,2,winter,13,0,,,376,Спорт,,,not_moderated,,,,,,,0.0,0.0,1,,,,,
1265470,Стипендии в University of Gloucestershire с поступлением осенью 2020,https://intellectual.timepad.ru/event/1265470/,,2020-02-19T10:00:00+0300,,2020,2,2,winter,10,0,,,1315,Образование за рубежом,,,not_moderated,,,,,,,0.0,0.0,1,,,,,
1265477,Мастер-класс Софьи Самодуровой,https://beeline-katok.timepad.ru/event/1265477/,,2020-02-21T13:00:00+0300,,2020,4,2,winter,13,0,,,376,Спорт,,,not_moderated,,,,,,,0.0,0.0,1,,,,,
